Chemical	Monitor	Reading	Year	Month	Day	Hour	Minutes	Seconds
Chlorodinine	3	3.10251	2016	12	1	0	0	0
AGOC-3A	4	2.17441	2016	12	1	0	0	0
Methylosmolene	4	2.16032	2016	12	1	0	0	0
Appluimonia	4	1.96719	2016	12	1	0	0	0
Chlorodinine	4	1.93589	2016	12	1	0	0	0
Appluimonia	3	1.42583	2016	12	1	0	0	0
Appluimonia	8	1.41802	2016	12	1	0	0	0
Methylosmolene	9	1.14461	2016	12	1	0	0	0
Appluimonia	7	0.941871	2016	12	1	0	0	0
Chlorodinine	5	0.851486	2016	12	1	0	0	0
Methylosmolene	8	0.700118	2016	12	1	0	0	0
Chlorodinine	8	0.656451	2016	12	1	0	0	0
AGOC-3A	8	0.614978	2016	12	1	0	0	0
Chlorodinine	9	0.609938	2016	12	1	0	0	0
Methylosmolene	3	0.598351	2016	12	1	0	0	0
Appluimonia	5	0.5752	2016	12	1	0	0	0
AGOC-3A	7	0.544667	2016	12	1	0	0	0
Methylosmolene	2	0.485155	2016	12	1	0	0	0
Appluimonia	2	0.394688	2016	12	1	0	0	0
AGOC-3A	3	0.379299	2016	12	1	0	0	0
Methylosmolene	6	0.368839	2016	12	1	0	0	0
Appluimonia	6	0.354782	2016	12	1	0	0	0
AGOC-3A	6	0.349508	2016	12	1	0	0	0
AGOC-3A	1	0.340047	2016	12	1	0	0	0
AGOC-3A	9	0.301606	2016	12	1	0	0	0
Chlorodinine	6	0.244596	2016	12	1	0	0	0
Methylosmolene	5	0.21625	2016	12	1	0	0	0
Chlorodinine	2	0.183959	2016	12	1	0	0	0
Methylosmolene	7	0.147705	2016	12	1	0	0	0
Chlorodinine	7	0.114174	2016	12	1	0	0	0
Appluimonia	9	0.0918988	2016	12	1	0	0	0
AGOC-3A	2	0.0869001	2016	12	1	0	0	0
Methylosmolene	1	0.0763819	2016	12	1	0	0	0
Appluimonia	1	0.0752314	2016	12	1	0	0	0
AGOC-3A	5	0.0646769	2016	12	1	0	0	0
Chlorodinine	1	0.0601018	2016	12	1	0	0	0
Chlorodinine	3	2.76261	2016	12	1	1	0	0
Methylosmolene	3	2.5311	2016	12	1	1	0	0
Appluimonia	4	2.02347	2016	12	1	1	0	0
AGOC-3A	4	2.00189	2016	12	1	1	0	0
Chlorodinine	4	1.93249	2016	12	1	1	0	0
Methylosmolene	4	1.73886	2016	12	1	1	0	0
Methylosmolene	2	0.655655	2016	12	1	1	0	0
AGOC-3A	6	0.625126	2016	12	1	1	0	0
Chlorodinine	6	0.581475	2016	12	1	1	0	0
Chlorodinine	1	0.570737	2016	12	1	1	0	0
Chlorodinine	2	0.569277	2016	12	1	1	0	0
Appluimonia	3	0.562347	2016	12	1	1	0	0
Appluimonia	6	0.529223	2016	12	1	1	0	0
Chlorodinine	7	0.505076	2016	12	1	1	0	0
Chlorodinine	5	0.480408	2016	12	1	1	0	0
AGOC-3A	7	0.476275	2016	12	1	1	0	0
Methylosmolene	7	0.461901	2016	12	1	1	0	0
Methylosmolene	6	0.374619	2016	12	1	1	0	0
AGOC-3A	8	0.37048	2016	12	1	1	0	0
Appluimonia	5	0.319978	2016	12	1	1	0	0
Methylosmolene	8	0.287377	2016	12	1	1	0	0
Chlorodinine	9	0.271889	2016	12	1	1	0	0
Appluimonia	2	0.212379	2016	12	1	1	0	0
AGOC-3A	2	0.207268	2016	12	1	1	0	0
Appluimonia	9	0.200574	2016	12	1	1	0	0
AGOC-3A	5	0.166938	2016	12	1	1	0	0
Chlorodinine	8	0.155388	2016	12	1	1	0	0
Methylosmolene	5	0.146368	2016	12	1	1	0	0
Appluimonia	7	0.140176	2016	12	1	1	0	0
AGOC-3A	9	0.126824	2016	12	1	1	0	0
Methylosmolene	9	0.123949	2016	12	1	1	0	0
Appluimonia	8	0.0813522	2016	12	1	1	0	0
AGOC-3A	1	0.0785864	2016	12	1	1	0	0
AGOC-3A	3	0.0780035	2016	12	1	1	0	0
Methylosmolene	1	0.0586791	2016	12	1	1	0	0
Appluimonia	1	0.0378871	2016	12	1	1	0	0
AGOC-3A	7	2.62451	2016	12	1	2	0	0
Methylosmolene	4	1.86306	2016	12	1	2	0	0
AGOC-3A	4	1.85773	2016	12	1	2	0	0
Chlorodinine	4	1.70381	2016	12	1	2	0	0
Appluimonia	4	1.68002	2016	12	1	2	0	0
AGOC-3A	3	1.44078	2016	12	1	2	0	0
Methylosmolene	3	1.30292	2016	12	1	2	0	0
AGOC-3A	9	1.22299	2016	12	1	2	0	0
Chlorodinine	9	1.00933	2016	12	1	2	0	0
Chlorodinine	6	0.82696	2016	12	1	2	0	0
Chlorodinine	2	0.757335	2016	12	1	2	0	0
Appluimonia	5	0.719841	2016	12	1	2	0	0
Methylosmolene	8	0.684609	2016	12	1	2	0	0
Chlorodinine	3	0.646051	2016	12	1	2	0	0
AGOC-3A	5	0.568596	2016	12	1	2	0	0
AGOC-3A	6	0.486588	2016	12	1	2	0	0
Appluimonia	1	0.457838	2016	12	1	2	0	0
Chlorodinine	1	0.418476	2016	12	1	2	0	0
Methylosmolene	1	0.409685	2016	12	1	2	0	0
Methylosmolene	6	0.375606	2016	12	1	2	0	0
Methylosmolene	2	0.35197	2016	12	1	2	0	0
Chlorodinine	7	0.346366	2016	12	1	2	0	0
Appluimonia	7	0.306608	2016	12	1	2	0	0
Methylosmolene	7	0.306467	2016	12	1	2	0	0
Methylosmolene	5	0.302053	2016	12	1	2	0	0
Chlorodinine	8	0.254816	2016	12	1	2	0	0
Appluimonia	9	0.165314	2016	12	1	2	0	0
Methylosmolene	9	0.146342	2016	12	1	2	0	0
Appluimonia	3	0.1412	2016	12	1	2	0	0
AGOC-3A	1	0.130829	2016	12	1	2	0	0
AGOC-3A	8	0.129983	2016	12	1	2	0	0
Appluimonia	8	0.121662	2016	12	1	2	0	0
AGOC-3A	2	0.117207	2016	12	1	2	0	0
Appluimonia	6	0.109415	2016	12	1	2	0	0
Chlorodinine	5	0.072025	2016	12	1	2	0	0
Appluimonia	2	0.0313172	2016	12	1	2	0	0
Appluimonia	3	2.54688	2016	12	1	3	0	0
Chlorodinine	4	2.07699	2016	12	1	3	0	0
Methylosmolene	4	1.8715	2016	12	1	3	0	0
Appluimonia	4	1.84596	2016	12	1	3	0	0
AGOC-3A	4	1.84209	2016	12	1	3	0	0
Chlorodinine	3	1.78845	2016	12	1	3	0	0
Chlorodinine	5	1.3777	2016	12	1	3	0	0
Appluimonia	9	1.15862	2016	12	1	3	0	0
Chlorodinine	7	1.0655	2016	12	1	3	0	0
Methylosmolene	8	0.822351	2016	12	1	3	0	0
AGOC-3A	1	0.767932	2016	12	1	3	0	0
Methylosmolene	9	0.758454	2016	12	1	3	0	0
Appluimonia	8	0.657467	2016	12	1	3	0	0
AGOC-3A	8	0.612507	2016	12	1	3	0	0
Appluimonia	2	0.609272	2016	12	1	3	0	0
Methylosmolene	7	0.5486	2016	12	1	3	0	0
Chlorodinine	6	0.518856	2016	12	1	3	0	0
Chlorodinine	8	0.51275	2016	12	1	3	0	0
Appluimonia	6	0.50733	2016	12	1	3	0	0
Chlorodinine	9	0.499804	2016	12	1	3	0	0
AGOC-3A	3	0.47679	2016	12	1	3	0	0
AGOC-3A	2	0.379068	2016	12	1	3	0	0
Chlorodinine	1	0.370876	2016	12	1	3	0	0
Methylosmolene	5	0.35101	2016	12	1	3	0	0
AGOC-3A	5	0.341524	2016	12	1	3	0	0
Appluimonia	5	0.333996	2016	12	1	3	0	0
AGOC-3A	9	0.326247	2016	12	1	3	0	0
AGOC-3A	7	0.32386	2016	12	1	3	0	0
Appluimonia	7	0.298542	2016	12	1	3	0	0
Methylosmolene	6	0.247375	2016	12	1	3	0	0
AGOC-3A	6	0.235581	2016	12	1	3	0	0
Appluimonia	1	0.201859	2016	12	1	3	0	0
Methylosmolene	1	0.175445	2016	12	1	3	0	0
Chlorodinine	2	0.153944	2016	12	1	3	0	0
Methylosmolene	3	0.143206	2016	12	1	3	0	0
Methylosmolene	2	0.0730603	2016	12	1	3	0	0
Methylosmolene	3	2.37534	2016	12	1	4	0	0
AGOC-3A	4	2.04371	2016	12	1	4	0	0
Methylosmolene	4	1.99108	2016	12	1	4	0	0
Chlorodinine	7	1.88608	2016	12	1	4	0	0
Chlorodinine	4	1.84758	2016	12	1	4	0	0
AGOC-3A	3	1.73425	2016	12	1	4	0	0
Appluimonia	9	1.59904	2016	12	1	4	0	0
Appluimonia	4	1.53644	2016	12	1	4	0	0
AGOC-3A	9	1.39291	2016	12	1	4	0	0
Appluimonia	3	1.07609	2016	12	1	4	0	0
Methylosmolene	8	0.914204	2016	12	1	4	0	0
Appluimonia	5	0.901425	2016	12	1	4	0	0
Chlorodinine	6	0.732352	2016	12	1	4	0	0
Methylosmolene	9	0.725237	2016	12	1	4	0	0
Chlorodinine	9	0.693257	2016	12	1	4	0	0
Appluimonia	2	0.679968	2016	12	1	4	0	0
AGOC-3A	8	0.533996	2016	12	1	4	0	0
Appluimonia	6	0.451093	2016	12	1	4	0	0
Methylosmolene	2	0.445128	2016	12	1	4	0	0
Chlorodinine	3	0.436905	2016	12	1	4	0	0
AGOC-3A	7	0.375632	2016	12	1	4	0	0
AGOC-3A	1	0.324081	2016	12	1	4	0	0
Appluimonia	1	0.301926	2016	12	1	4	0	0
AGOC-3A	6	0.257498	2016	12	1	4	0	0
AGOC-3A	2	0.253728	2016	12	1	4	0	0
Appluimonia	8	0.248804	2016	12	1	4	0	0
Methylosmolene	7	0.176893	2016	12	1	4	0	0
Chlorodinine	1	0.17576	2016	12	1	4	0	0
Chlorodinine	5	0.167482	2016	12	1	4	0	0
Chlorodinine	2	0.150697	2016	12	1	4	0	0
Methylosmolene	6	0.12563	2016	12	1	4	0	0
Appluimonia	7	0.122475	2016	12	1	4	0	0
Methylosmolene	5	0.113842	2016	12	1	4	0	0
AGOC-3A	5	0.105896	2016	12	1	4	0	0
Chlorodinine	8	0.0854958	2016	12	1	4	0	0
Methylosmolene	1	0.0287494	2016	12	1	4	0	0
Methylosmolene	4	2.34953	2016	12	1	5	0	0
AGOC-3A	4	2.09046	2016	12	1	5	0	0
Chlorodinine	4	1.97518	2016	12	1	5	0	0
Appluimonia	4	1.97351	2016	12	1	5	0	0
Methylosmolene	7	1.58044	2016	12	1	5	0	0
Methylosmolene	9	1.28124	2016	12	1	5	0	0
Appluimonia	9	1.23007	2016	12	1	5	0	0
Methylosmolene	2	0.98465	2016	12	1	5	0	0
Chlorodinine	9	0.982988	2016	12	1	5	0	0
Appluimonia	7	0.896653	2016	12	1	5	0	0
Chlorodinine	7	0.84672	2016	12	1	5	0	0
AGOC-3A	9	0.777613	2016	12	1	5	0	0
Chlorodinine	5	0.654934	2016	12	1	5	0	0
Methylosmolene	6	0.63509	2016	12	1	5	0	0
Chlorodinine	2	0.545735	2016	12	1	5	0	0
Appluimonia	5	0.493132	2016	12	1	5	0	0
AGOC-3A	7	0.46525	2016	12	1	5	0	0
AGOC-3A	5	0.41368	2016	12	1	5	0	0
AGOC-3A	2	0.409413	2016	12	1	5	0	0
Methylosmolene	8	0.384742	2016	12	1	5	0	0
Methylosmolene	5	0.368838	2016	12	1	5	0	0
Appluimonia	2	0.359231	2016	12	1	5	0	0
Chlorodinine	3	0.35748	2016	12	1	5	0	0
Chlorodinine	8	0.353984	2016	12	1	5	0	0
AGOC-3A	8	0.350749	2016	12	1	5	0	0
Appluimonia	3	0.35073	2016	12	1	5	0	0
Appluimonia	6	0.269946	2016	12	1	5	0	0
AGOC-3A	1	0.239491	2016	12	1	5	0	0
Methylosmolene	1	0.16983	2016	12	1	5	0	0
Chlorodinine	1	0.162628	2016	12	1	5	0	0
AGOC-3A	6	0.16158	2016	12	1	5	0	0
Methylosmolene	3	0.149416	2016	12	1	5	0	0
Appluimonia	8	0.125524	2016	12	1	5	0	0
AGOC-3A	3	0.0644967	2016	12	1	5	0	0
Appluimonia	1	0.0475404	2016	12	1	5	0	0
Chlorodinine	6	0.0366787	2016	12	1	5	0	0
Chlorodinine	3	3.67498	2016	12	1	6	0	0
AGOC-3A	4	2.69658	2016	12	1	6	0	0
Chlorodinine	7	2.4259	2016	12	1	6	0	0
Methylosmolene	4	2.39095	2016	12	1	6	0	0
Methylosmolene	3	1.88394	2016	12	1	6	0	0
Appluimonia	4	1.86009	2016	12	1	6	0	0
AGOC-3A	3	1.65945	2016	12	1	6	0	0
Chlorodinine	4	1.61168	2016	12	1	6	0	0
AGOC-3A	9	1.44752	2016	12	1	6	0	0
Appluimonia	2	1.00344	2016	12	1	6	0	0
Methylosmolene	2	0.920982	2016	12	1	6	0	0
Chlorodinine	9	0.895265	2016	12	1	6	0	0
AGOC-3A	6	0.833938	2016	12	1	6	0	0
Chlorodinine	8	0.828275	2016	12	1	6	0	0
Methylosmolene	9	0.665901	2016	12	1	6	0	0
Chlorodinine	2	0.623046	2016	12	1	6	0	0
Methylosmolene	5	0.60723	2016	12	1	6	0	0
Methylosmolene	8	0.60661	2016	12	1	6	0	0
Chlorodinine	6	0.567571	2016	12	1	6	0	0
Appluimonia	6	0.527644	2016	12	1	6	0	0
AGOC-3A	8	0.526028	2016	12	1	6	0	0
AGOC-3A	5	0.51894	2016	12	1	6	0	0
AGOC-3A	1	0.490278	2016	12	1	6	0	0
Methylosmolene	6	0.440631	2016	12	1	6	0	0
AGOC-3A	7	0.398454	2016	12	1	6	0	0
AGOC-3A	2	0.367446	2016	12	1	6	0	0
Appluimonia	3	0.301106	2016	12	1	6	0	0
Methylosmolene	7	0.296631	2016	12	1	6	0	0
Chlorodinine	1	0.292354	2016	12	1	6	0	0
Appluimonia	5	0.289562	2016	12	1	6	0	0
Appluimonia	9	0.240215	2016	12	1	6	0	0
Appluimonia	8	0.229476	2016	12	1	6	0	0
Methylosmolene	1	0.208226	2016	12	1	6	0	0
Appluimonia	7	0.206585	2016	12	1	6	0	0
Appluimonia	1	0.0808647	2016	12	1	6	0	0
Chlorodinine	5	0.0273558	2016	12	1	6	0	0
AGOC-3A	4	4.5804	2016	12	1	7	0	0
Appluimonia	7	2.64308	2016	12	1	7	0	0
Chlorodinine	3	2.51163	2016	12	1	7	0	0
Methylosmolene	4	2.14255	2016	12	1	7	0	0
Chlorodinine	4	2.03017	2016	12	1	7	0	0
Appluimonia	4	1.68205	2016	12	1	7	0	0
Methylosmolene	5	1.5116	2016	12	1	7	0	0
AGOC-3A	7	1.4809	2016	12	1	7	0	0
AGOC-3A	5	1.19388	2016	12	1	7	0	0
Methylosmolene	3	0.982444	2016	12	1	7	0	0
AGOC-3A	3	0.578923	2016	12	1	7	0	0
AGOC-3A	9	0.47529	2016	12	1	7	0	0
Chlorodinine	9	0.456679	2016	12	1	7	0	0
Appluimonia	1	0.427886	2016	12	1	7	0	0
Appluimonia	9	0.378699	2016	12	1	7	0	0
Appluimonia	6	0.363329	2016	12	1	7	0	0
Chlorodinine	6	0.34704	2016	12	1	7	0	0
Appluimonia	8	0.336408	2016	12	1	7	0	0
Chlorodinine	8	0.314078	2016	12	1	7	0	0
Methylosmolene	6	0.305188	2016	12	1	7	0	0
Methylosmolene	2	0.286571	2016	12	1	7	0	0
Chlorodinine	7	0.245753	2016	12	1	7	0	0
Appluimonia	2	0.227462	2016	12	1	7	0	0
AGOC-3A	8	0.212428	2016	12	1	7	0	0
AGOC-3A	2	0.204636	2016	12	1	7	0	0
Chlorodinine	1	0.178562	2016	12	1	7	0	0
Appluimonia	5	0.142882	2016	12	1	7	0	0
Chlorodinine	5	0.132032	2016	12	1	7	0	0
AGOC-3A	6	0.104628	2016	12	1	7	0	0
Methylosmolene	1	0.087584	2016	12	1	7	0	0
Methylosmolene	7	0.0829822	2016	12	1	7	0	0
Chlorodinine	2	0.0533121	2016	12	1	7	0	0
Methylosmolene	9	0.0346443	2016	12	1	7	0	0
Methylosmolene	8	0.0277863	2016	12	1	7	0	0
AGOC-3A	1	0.0220983	2016	12	1	7	0	0
Appluimonia	3	0.0207512	2016	12	1	7	0	0
AGOC-3A	4	3.33681	2016	12	1	8	0	0
Appluimonia	4	2.1429	2016	12	1	8	0	0
Chlorodinine	4	1.96422	2016	12	1	8	0	0
Appluimonia	3	1.91453	2016	12	1	8	0	0
Methylosmolene	4	1.88635	2016	12	1	8	0	0
Chlorodinine	5	1.76357	2016	12	1	8	0	0
Chlorodinine	7	1.24925	2016	12	1	8	0	0
Chlorodinine	3	1.13401	2016	12	1	8	0	0
AGOC-3A	7	1.08384	2016	12	1	8	0	0
AGOC-3A	5	0.841701	2016	12	1	8	0	0
AGOC-3A	3	0.805561	2016	12	1	8	0	0
Methylosmolene	7	0.723116	2016	12	1	8	0	0
Appluimonia	2	0.702134	2016	12	1	8	0	0
Chlorodinine	6	0.700949	2016	12	1	8	0	0
Methylosmolene	3	0.656894	2016	12	1	8	0	0
Chlorodinine	8	0.646089	2016	12	1	8	0	0
Methylosmolene	9	0.638642	2016	12	1	8	0	0
Appluimonia	9	0.617331	2016	12	1	8	0	0
AGOC-3A	2	0.544094	2016	12	1	8	0	0
AGOC-3A	6	0.518692	2016	12	1	8	0	0
Appluimonia	8	0.479544	2016	12	1	8	0	0
Chlorodinine	1	0.450128	2016	12	1	8	0	0
Appluimonia	5	0.4467	2016	12	1	8	0	0
AGOC-3A	8	0.419086	2016	12	1	8	0	0
Appluimonia	6	0.413988	2016	12	1	8	0	0
Appluimonia	7	0.340226	2016	12	1	8	0	0
Chlorodinine	9	0.329211	2016	12	1	8	0	0
AGOC-3A	1	0.311452	2016	12	1	8	0	0
Methylosmolene	2	0.251411	2016	12	1	8	0	0
Appluimonia	1	0.216239	2016	12	1	8	0	0
Chlorodinine	2	0.181772	2016	12	1	8	0	0
Methylosmolene	8	0.158468	2016	12	1	8	0	0
Methylosmolene	5	0.155896	2016	12	1	8	0	0
Methylosmolene	1	0.152693	2016	12	1	8	0	0
Methylosmolene	6	0.151105	2016	12	1	8	0	0
AGOC-3A	9	0.0786698	2016	12	1	8	0	0
AGOC-3A	3	4.44424	2016	12	1	9	0	0
Chlorodinine	4	2.12438	2016	12	1	9	0	0
Appluimonia	4	1.92199	2016	12	1	9	0	0
Methylosmolene	4	1.91285	2016	12	1	9	0	0
AGOC-3A	4	1.7144	2016	12	1	9	0	0
AGOC-3A	5	1.65695	2016	12	1	9	0	0
Methylosmolene	7	1.63173	2016	12	1	9	0	0
Methylosmolene	9	1.43313	2016	12	1	9	0	0
Appluimonia	8	1.32191	2016	12	1	9	0	0
Methylosmolene	5	0.944853	2016	12	1	9	0	0
Chlorodinine	3	0.863893	2016	12	1	9	0	0
Appluimonia	5	0.802472	2016	12	1	9	0	0
Appluimonia	9	0.765833	2016	12	1	9	0	0
Chlorodinine	7	0.742097	2016	12	1	9	0	0
Chlorodinine	9	0.693643	2016	12	1	9	0	0
AGOC-3A	8	0.620478	2016	12	1	9	0	0
Appluimonia	6	0.594689	2016	12	1	9	0	0
Appluimonia	1	0.535122	2016	12	1	9	0	0
Appluimonia	3	0.51329	2016	12	1	9	0	0
Methylosmolene	2	0.509898	2016	12	1	9	0	0
Chlorodinine	8	0.449961	2016	12	1	9	0	0
Chlorodinine	5	0.436465	2016	12	1	9	0	0
Methylosmolene	3	0.430417	2016	12	1	9	0	0
AGOC-3A	7	0.417625	2016	12	1	9	0	0
Chlorodinine	2	0.417492	2016	12	1	9	0	0
AGOC-3A	9	0.395301	2016	12	1	9	0	0
Methylosmolene	8	0.390222	2016	12	1	9	0	0
AGOC-3A	6	0.336149	2016	12	1	9	0	0
Chlorodinine	1	0.324769	2016	12	1	9	0	0
Chlorodinine	6	0.28819	2016	12	1	9	0	0
Methylosmolene	1	0.213205	2016	12	1	9	0	0
AGOC-3A	2	0.202716	2016	12	1	9	0	0
Appluimonia	2	0.197016	2016	12	1	9	0	0
Appluimonia	7	0.119722	2016	12	1	9	0	0
AGOC-3A	1	0.0916437	2016	12	1	9	0	0
Methylosmolene	6	0.0685574	2016	12	1	9	0	0
Chlorodinine	3	6.81971	2016	12	1	10	0	0
AGOC-3A	4	3.67169	2016	12	1	10	0	0
Chlorodinine	4	2.00536	2016	12	1	10	0	0
Appluimonia	3	1.84344	2016	12	1	10	0	0
Appluimonia	4	1.81132	2016	12	1	10	0	0
AGOC-3A	3	1.79747	2016	12	1	10	0	0
Methylosmolene	4	1.7071	2016	12	1	10	0	0
Methylosmolene	7	1.64495	2016	12	1	10	0	0
Appluimonia	7	1.60605	2016	12	1	10	0	0
Methylosmolene	3	0.955622	2016	12	1	10	0	0
AGOC-3A	7	0.895142	2016	12	1	10	0	0
Chlorodinine	6	0.837551	2016	12	1	10	0	0
Chlorodinine	5	0.817398	2016	12	1	10	0	0
AGOC-3A	8	0.786293	2016	12	1	10	0	0
Appluimonia	8	0.639833	2016	12	1	10	0	0
Appluimonia	6	0.577879	2016	12	1	10	0	0
Chlorodinine	7	0.502359	2016	12	1	10	0	0
AGOC-3A	2	0.499955	2016	12	1	10	0	0
AGOC-3A	9	0.499056	2016	12	1	10	0	0
Appluimonia	9	0.455435	2016	12	1	10	0	0
Chlorodinine	8	0.445153	2016	12	1	10	0	0
Appluimonia	5	0.390798	2016	12	1	10	0	0
Appluimonia	2	0.387163	2016	12	1	10	0	0
Chlorodinine	9	0.304214	2016	12	1	10	0	0
Methylosmolene	6	0.292281	2016	12	1	10	0	0
Methylosmolene	2	0.280637	2016	12	1	10	0	0
Appluimonia	1	0.241787	2016	12	1	10	0	0
Methylosmolene	8	0.209211	2016	12	1	10	0	0
AGOC-3A	1	0.202571	2016	12	1	10	0	0
AGOC-3A	5	0.110115	2016	12	1	10	0	0
Chlorodinine	2	0.109114	2016	12	1	10	0	0
Chlorodinine	1	0.0642029	2016	12	1	10	0	0
AGOC-3A	6	0.05815	2016	12	1	10	0	0
Methylosmolene	5	0.0549294	2016	12	1	10	0	0
Methylosmolene	1	0.053806	2016	12	1	10	0	0
Methylosmolene	9	0.0343578	2016	12	1	10	0	0
AGOC-3A	4	2.87094	2016	12	1	11	0	0
Chlorodinine	3	2.68323	2016	12	1	11	0	0
Appluimonia	4	1.84978	2016	12	1	11	0	0
Methylosmolene	4	1.84625	2016	12	1	11	0	0
Chlorodinine	4	1.79584	2016	12	1	11	0	0
Methylosmolene	3	1.3424	2016	12	1	11	0	0
Methylosmolene	9	1.16828	2016	12	1	11	0	0
Chlorodinine	9	0.872874	2016	12	1	11	0	0
AGOC-3A	7	0.859986	2016	12	1	11	0	0
Appluimonia	3	0.785853	2016	12	1	11	0	0
Methylosmolene	7	0.71851	2016	12	1	11	0	0
Chlorodinine	8	0.71176	2016	12	1	11	0	0
Appluimonia	9	0.709597	2016	12	1	11	0	0
AGOC-3A	5	0.675535	2016	12	1	11	0	0
Methylosmolene	8	0.626128	2016	12	1	11	0	0
