Chemical	Day	Hour	Reading
Methylosmolene	30	23	0.512527111
Methylosmolene	30	22	0.711448859
Methylosmolene	30	21	0.5093184
Methylosmolene	30	20	0.435565444
Methylosmolene	30	19	0.430433733
Methylosmolene	30	18	0.611257844
Methylosmolene	30	17	0.466899956
Methylosmolene	30	16	0.418150167
Methylosmolene	30	15	0.3636503
Methylosmolene	30	14	0.471688444
Methylosmolene	30	13	0.791364189
Methylosmolene	30	12	0.4717526
Methylosmolene	30	11	0.431376344
Methylosmolene	30	10	0.353335822
Methylosmolene	30	9	0.356905633
Methylosmolene	30	8	0.555894444
Methylosmolene	30	7	0.736022022
Methylosmolene	30	6	0.333340178
Methylosmolene	30	5	0.480760644
Methylosmolene	30	4	0.590573767
Methylosmolene	30	3	0.530174178
Methylosmolene	30	2	0.477047756
Methylosmolene	30	1	0.317802222
Methylosmolene	30	0	0.228787967
Methylosmolene	29	23	0.498098722
Methylosmolene	29	22	0.682060878
Methylosmolene	29	21	0.343983413
Methylosmolene	29	20	0.388241911
Methylosmolene	29	19	0.399558433
Methylosmolene	29	18	0.351491922
Methylosmolene	29	17	0.651785104
Methylosmolene	29	16	0.733987847
Methylosmolene	29	15	0.684831133
Methylosmolene	29	14	0.414509222
Methylosmolene	29	13	0.739690278
Methylosmolene	29	12	0.549312256
Methylosmolene	29	11	0.423483856
Methylosmolene	29	10	0.3794297
Methylosmolene	29	9	0.565035856
Methylosmolene	29	8	0.304673744
Methylosmolene	29	7	0.791327467
Methylosmolene	29	6	0.347477409
Methylosmolene	29	5	0.426595974
Methylosmolene	29	4	0.448925311
Methylosmolene	29	3	0.638162111
Methylosmolene	29	2	0.483508889
Methylosmolene	29	1	0.542421767
Methylosmolene	29	0	0.608034333
Methylosmolene	28	23	0.413285111
Methylosmolene	28	22	0.4670242
Methylosmolene	28	21	0.563763833
Methylosmolene	28	20	0.527538333
Methylosmolene	28	19	0.492468511
Methylosmolene	28	18	0.332547267
Methylosmolene	28	17	0.384243844
Methylosmolene	28	16	0.421523333
Methylosmolene	28	15	0.378407356
Methylosmolene	28	14	0.516945333
Methylosmolene	28	13	0.752095122
Methylosmolene	28	12	0.277739411
Methylosmolene	28	11	0.569647444
Methylosmolene	28	10	0.3978826
Methylosmolene	28	9	0.504494889
Methylosmolene	28	8	0.5758619
Methylosmolene	28	7	0.401277626
Methylosmolene	28	6	0.476755089
Methylosmolene	28	5	0.585473733
Methylosmolene	28	4	0.580886911
Methylosmolene	28	3	0.355653778
Methylosmolene	28	2	0.541859933
Methylosmolene	28	1	0.288173197
Methylosmolene	28	0	0.445119022
Methylosmolene	27	23	0.346086122
Methylosmolene	27	22	0.509410333
Methylosmolene	27	21	0.3928764
Methylosmolene	27	20	0.7162284
Methylosmolene	27	19	0.478565822
Methylosmolene	27	18	0.350824444
Methylosmolene	27	17	0.379504467
Methylosmolene	27	16	0.872652056
Methylosmolene	27	15	0.343628022
Methylosmolene	27	14	0.272031778
Methylosmolene	27	13	0.223018278
Methylosmolene	27	12	0.8018147
Methylosmolene	27	11	0.316708222
Methylosmolene	27	10	0.389083313
Methylosmolene	27	9	0.400093444
Methylosmolene	27	8	0.428132233
Methylosmolene	27	7	0.538721144
Methylosmolene	27	6	0.414717422
Methylosmolene	27	5	0.702693729
Methylosmolene	27	4	0.413163711
Methylosmolene	27	3	0.433451678
Methylosmolene	27	2	0.4349748
Methylosmolene	27	1	0.566265
Methylosmolene	27	0	0.344432778
Methylosmolene	26	23	0.377556811
Methylosmolene	26	22	0.611585222
Methylosmolene	26	21	0.509942367
Methylosmolene	26	20	0.404504633
Methylosmolene	26	19	0.62803972
Methylosmolene	26	18	0.2359017
Methylosmolene	26	17	0.334491511
Methylosmolene	26	16	0.350540644
Methylosmolene	26	15	0.375905167
Methylosmolene	26	14	0.2521592
Methylosmolene	26	13	0.356844556
Methylosmolene	26	12	0.222524644
Methylosmolene	26	11	0.423327833
Methylosmolene	26	10	0.554851956
